id,name,address,city,created_at
store-056,Bahandi Branch #56,"пр. Кунаева 67",Shymkent,2024-02-01
store-057,Bahandi Branch #57,"пр. Тауке хана 253",Shymkent,2024-02-01
store-058,Bahandi Branch #58,"ул. Байтурсынова 340",Shymkent,2024-02-01
store-059,Bahandi Branch #59,"пр. Кунаева 130",Shymkent,2024-02-01
store-060,Bahandi Branch #60,"пр. Тауке хана 78",Shymkent,2024-02-01
store-061,Bahandi Branch #61,"ул. Байтурсынова 412",Shymkent,2024-02-01
store-062,Bahandi Branch #62,"пр. Кунаева 198",Shymkent,2024-02-01
store-063,Bahandi Branch #63,"пр. Бухар жырау 41",Karaganda,2024-02-10
store-064,Bahandi Branch #64,"ул. Ерубаева 17",Karaganda,2024-02-10
store-065,Bahandi Branch #65,"пр. Нуркена Абдирова 88",Karaganda,2024-02-10
store-066,Bahandi Branch #66,"пр. Бухар жырау 132",Karaganda,2024-02-10
store-067,Bahandi Branch #67,"ул. Ерубаева 55",Karaganda,2024-02-10
store-068,Bahandi Branch #68,"пр. Нуркена Абдирова 203",Karaganda,2024-02-10
store-069,Bahandi Branch #69,"пр. Бухар жырау 287",Karaganda,2024-02-10
store-070,Bahandi Branch #70,"ул. Ерубаева 99",Karaganda,2024-02-10
store-071,Bahandi Branch #71,"ул. Айтеке би 34",Aktobe,2024-02-15
store-072,Bahandi Branch #72,"пр. Абилкайыр хана 77",Aktobe,2024-02-15
store-073,Bahandi Branch #73,"ул. Айтеке би 112",Aktobe,2024-02-15
store-074,Bahandi Branch #74,"пр. Абилкайыр хана 155",Aktobe,2024-02-15
store-075,Bahandi Branch #75,"ул. Академика Сатпаева 43",Pavlodar,2024-02-20
store-076,Bahandi Branch #76,"пр. Машхур Жусупа 88",Pavlodar,2024-02-20
store-077,Bahandi Branch #77,"пр. Шакарима 29",Pavlodar,2024-02-20
store-078,Bahandi Branch #78,"ул. Шакарима 15",Semey,2024-03-01
store-079,Bahandi Branch #79,"пр. Абая 67",Semey,2024-03-01
store-080,Bahandi Branch #80,"ул. Толе би 41",Taraz,2024-03-05
store-081,Bahandi Branch #81,"пр. Жамбыл 93",Taraz,2024-03-05
store-082,Bahandi Branch #82,"ул. Азаттык 22",Atyrau,2024-03-10
store-083,Bahandi Branch #83,"пр. Сатпаева 78",Kostanay,2024-03-12
store-084,Bahandi Branch #84,"ул. Протозанова 34",Ust-Kamenogorsk,2024-03-15
store-085,Bahandi Branch #85,"ул. Достык 55",Oral,2024-03-18
store-086,Bahandi Branch #86,"ул. Жибек Жолы 44",Kyzylorda,2024-03-20
store-087,Bahandi Branch #87,"пр. Металлургов 18",Temirtau,2024-03-22
